🇨🇳央视(电信),#genre#
江西卫视,http://10.0.0.1:1234/rtp/238.255.2.94:5999
江西卫视,http://10.0.0.1:1234/rtp/238.255.3.165:5999
江西卫视,http://10.0.0.1:1234/rtp/238.255.3.82:5999
金鹰纪实,http://10.0.0.1:1234/rtp/238.255.3.89:5999
康巴卫视,http://10.0.0.1:1234/rtp/238.255.2.140:5999
康巴卫视,http://10.0.0.1:1234/rtp/238.255.3.204:5999
辽宁卫视,http://10.0.0.1:1234/rtp/238.255.0.136:8728
辽宁卫视,http://10.0.0.1:1234/rtp/238.255.2.69:5999
辽宁卫视,http://10.0.0.1:1234/rtp/238.255.3.177:5999
辽宁卫视,http://10.0.0.1:1234/rtp/238.255.3.77:5999
南方卫视,http://10.0.0.1:1234/rtp/238.255.2.60:5999
宁夏卫视,http://10.0.0.1:1234/rtp/238.255.2.75:5999
宁夏卫视,http://10.0.0.1:1234/rtp/238.255.3.189:5999
宁夏卫视,http://10.0.0.1:1234/rtp/238.255.3.53:5999
农林卫视,http://10.0.0.1:1234/rtp/238.255.2.120:5999
农林卫视,http://10.0.0.1:1234/rtp/238.255.3.55:5999
青海卫视,http://10.0.0.1:1234/rtp/238.255.2.51:5999
青海卫视,http://10.0.0.1:1234/rtp/238.255.3.184:5999
青海卫视,http://10.0.0.1:1234/rtp/238.255.3.50:5999
三沙卫视,http://10.0.0.1:1234/rtp/238.255.2.203:5999
三沙卫视,http://10.0.0.1:1234/rtp/238.255.3.40:5999
厦门卫视,http://10.0.0.1:1234/rtp/238.255.2.205:5999
厦门卫视,http://10.0.0.1:1234/rtp/238.255.3.100:5999
山东卫视,http://10.0.0.1:1234/rtp/238.255.0.120:4304
山东卫视,http://10.0.0.1:1234/rtp/238.255.2.97:5999
山东卫视,http://10.0.0.1:1234/rtp/238.255.3.164:5999
山东卫视,http://10.0.0.1:1234/rtp/238.255.3.76:5999
山西卫视,http://10.0.0.1:1234/rtp/238.255.2.71:5999
山西卫视,http://10.0.0.1:1234/rtp/238.255.3.180:5999
山西卫视,http://10.0.0.1:1234/rtp/238.255.3.51:5999
陕西卫视,http://10.0.0.1:1234/rtp/238.255.2.72:5999
陕西卫视,http://10.0.0.1:1234/rtp/238.255.3.181:5999
陕西卫视,http://10.0.0.1:1234/rtp/238.255.3.34:5999
深圳卫视,http://10.0.0.1:1234/rtp/238.255.0.121:4416
深圳卫视,http://10.0.0.1:1234/rtp/238.255.2.61:5999
深圳卫视,http://10.0.0.1:1234/rtp/238.255.3.183:5999
深圳卫视,http://10.0.0.1:1234/rtp/238.255.3.86:5999
深圳卫视,http://10.0.0.1:1234/rtp/238.255.3.111:5999
深圳卫视4K,http://10.0.0.1:1234/rtp://238.255.3.111:5999
四川卫视,http://10.0.0.1:1234/rtp/238.255.0.41:8848
四川卫视,http://10.0.0.1:1234/rtp/238.255.2.76:5999
四川卫视,http://10.0.0.1:1234/rtp/238.255.3.172:5999
四川卫视,http://10.0.0.1:1234/rtp/238.255.3.75:5999
天津卫视,http://10.0.0.1:1234/rtp/238.255.0.135:8720
天津卫视,http://10.0.0.1:1234/rtp/238.255.2.99:5999
天津卫视,http://10.0.0.1:1234/rtp/238.255.3.166:5999
天津卫视,http://10.0.0.1:1234/rtp/238.255.3.81:5999
西藏藏语,http://10.0.0.1:1234/rtp/238.255.3.57:5999
西藏卫视,http://10.0.0.1:1234/rtp/238.255.2.23:5999
西藏卫视,http://10.0.0.1:1234/rtp/238.255.2.65:5999
西藏卫视,http://10.0.0.1:1234/rtp/238.255.3.190:5999
西藏卫视,http://10.0.0.1:1234/rtp/238.255.3.56:5999
新疆卫视,http://10.0.0.1:1234/rtp/238.255.2.66:5999
新疆卫视,http://10.0.0.1:1234/rtp/238.255.3.179:5999
新疆卫视,http://10.0.0.1:1234/rtp/238.255.3.27:5999
延边卫视,http://10.0.0.1:1234/rtp/238.255.2.204:5999
延边卫视,http://10.0.0.1:1234/rtp/238.255.3.39:5999
云南卫视,http://10.0.0.1:1234/rtp/238.255.2.63:5999
云南卫视,http://10.0.0.1:1234/rtp/238.255.3.188:5999
云南卫视,http://10.0.0.1:1234/rtp/238.255.3.37:5999
浙江卫视,http://10.0.0.1:1234/rtp/238.255.0.116:4272
浙江卫视,http://10.0.0.1:1234/rtp/238.255.2.100:5999
浙江卫视,http://10.0.0.1:1234/rtp/238.255.3.161:5999
浙江卫视,http://10.0.0.1:1234/rtp/238.255.3.74:5999
重庆卫视,http://10.0.0.1:1234/rtp/238.255.0.44:8864
重庆卫视,http://10.0.0.1:1234/rtp/238.255.2.78:5999
重庆卫视,http://10.0.0.1:1234/rtp/238.255.3.174:5999
重庆卫视,http://10.0.0.1:1234/rtp/238.255.3.83:5999
重庆卫视,http://10.0.0.1:1234/rtp/238.255.3.85:5999
安多卫视,http://10.0.0.1:1234/rtp/238.255.2.189:5999
安多卫视,http://10.0.0.1:1234/rtp/238.255.3.246:5999
